Vietnamese,Korean,Vietnamese_Sentence,Korean_Sentence,tts_url,images_url
du lịch,관광,Ngành du lịch đóng góp lớn cho kinh tế,관광 산업은 경제에 큰 기여를 합니다.,https://r2.sangsang.vip/mp3/30bad80fced41b97618c1373f47c87d6.mp3,https://r2.sangsang.vip/images/Ngành_du_lịch_đóng_góp_lớn_cho_kinh_tế.png
giáo dục,교육,Giáo dục là quốc sách hàng đầu,교육은 최우선 국책입니다.,https://r2.sangsang.vip/mp3/8bbeed7594e987e7202363b00a6c18c1.mp3,https://r2.sangsang.vip/images/Giáo_dục_là_quốc_sách_hàng_đầu.png
y tế,의료,Hệ thống y tế cần được cải thiện,의료 시스템은 개선되어야 합니다.,https://r2.sangsang.vip/mp3/f90c78483943f1370c72fd719a6e8c34.mp3,https://r2.sangsang.vip/images/Hệ_thống_y_tế_cần_được_cải_thiện.png
giao thông,교통,Giao thông ở thành phố lớn rất phức tạp,대도시의 교통은 매우 복잡합니다.,https://r2.sangsang.vip/mp3/fa5dfd1d2ac4ce90bd35a6505f43adfa.mp3,https://r2.sangsang.vip/images/Giao_thông_ở_thành_phố_lớn_rất_phức_tạp.png
môi trường,환경,Chúng ta cần bảo vệ môi trường,우리는 환경을 보호해야 합니다.,https://r2.sangsang.vip/mp3/785edfd2d2d1b14c069e19ee985d66cc.mp3,https://r2.sangsang.vip/images/Chúng_ta_cần_bảo_vệ_môi_trường.png
năng lượng,에너지,Năng lượng mặt trời là năng lượng sạch,태양 에너지는 깨끗한 에너지입니다.,https://r2.sangsang.vip/mp3/c50decf796fda3c7bc53480c19ed8fde.mp3,https://r2.sangsang.vip/images/Năng_lượng_mặt_trời_là_năng_lượng_sạch.png
đi,가다,Tôi đi học,저는 학교에 갑니다.,https://r2.sangsang.vip/mp3/d28fc478b4bb8b5371f241a4253b0e77.mp3,https://r2.sangsang.vip/images/Tôi_đi_học.png
đến,오다/도착하다,Khi nào bạn đến?,언제 오세요?,https://r2.sangsang.vip/mp3/23e560cc3a64861ef83190d2bb87a776.mp3,https://r2.sangsang.vip/images/Khi_nào_bạn_đến.png
về,돌아가다,Tôi muốn về nhà,집에 가고 싶어요.,https://r2.sangsang.vip/mp3/d82367f7b6a1b5fa44164ad21c268140.mp3,https://r2.sangsang.vip/images/Tôi_muốn_về_nhà.png
ở,있다/살다,Tôi ở Hà Nội,저는 하노이에 있습니다.,https://r2.sangsang.vip/mp3/825ec95304eb68815642775aad00b6c9.mp3,https://r2.sangsang.vip/images/Tôi_ở_Hà_Nội.png
làm,하다/일하다,Tôi đang làm bài tập,숙제를 하고 있습니다.,https://r2.sangsang.vip/mp3/c713c99aa449005657cd5f7bf6eefa26.mp3,https://r2.sangsang.vip/images/Tôi_đang_làm_bài_tập.png
ăn,먹다,Tôi muốn ăn phở,쌀국수를 먹고 싶어요.,https://r2.sangsang.vip/mp3/d1769eb20c07a221319d719099ada158.mp3,https://r2.sangsang.vip/images/Tôi_muốn_ăn_phở.png
uống,마시다,Bạn muốn uống gì?,무엇을 마시고 싶으세요?,https://r2.sangsang.vip/mp3/473a72a4db655f639d027d59f93a8470.mp3,https://r2.sangsang.vip/images/Bạn_muốn_uống_gì.png
ngủ,자다,Tôi cần đi ngủ,저는 자야 해요.,https://r2.sangsang.vip/mp3/9816c526cf019995887d561d4c3434ce.mp3,https://r2.sangsang.vip/images/Tôi_cần_đi_ngủ.png
thức dậy,일어나다,Sáng nay tôi thức dậy muộn,오늘 아침에 늦게 일어났어요.,https://r2.sangsang.vip/mp3/1efbea487609f11f3f0b0f33800b34c3.mp3,https://r2.sangsang.vip/images/Sáng_nay_tôi_thức_dậy_muộn.png
nói,말하다,Bạn có thể nói chậm hơn không?,좀 더 천천히 말해주실 수 있나요?,https://r2.sangsang.vip/mp3/ed3b4d82a43a0268e0e0da5a9a1a6ca2.mp3,https://r2.sangsang.vip/images/Bạn_có_thể_nói_chậm_hơn_không.png
nghe,듣다,Tôi thích nghe nhạc,저는 음악 듣는 것을 좋아해요.,https://r2.sangsang.vip/mp3/5acfa875561ce9dc5ea8b3e1888375c5.mp3,https://r2.sangsang.vip/images/Tôi_thích_nghe_nhạc.png
đọc,읽다,Tôi đang đọc sách,저는 책을 읽고 있습니다.,https://r2.sangsang.vip/mp3/86d513a5c5289b07dbdb62445deabac6.mp3,https://r2.sangsang.vip/images/Tôi_đang_đọc_sách.png
viết,쓰다,Tôi đang viết một bức thư,저는 편지를 쓰고 있습니다.,https://r2.sangsang.vip/mp3/68b4694e06e2878a8a1c0b0ab8c6053e.mp3,https://r2.sangsang.vip/images/Tôi_đang_viết_một_bức_thư.png
nhìn,보다,Nhìn kìa,저기 보세요.,https://r2.sangsang.vip/mp3/5df965e038769e24614da2c70e51eeba.mp3,https://r2.sangsang.vip/images/Nhìn_kìa.png
xem,보다 (TV 영화 등),Tôi đang xem tivi,저는 TV를 보고 있습니다.,https://r2.sangsang.vip/mp3/bf523f5a534889bbf4a6e6fd7d676d4f.mp3,https://r2.sangsang.vip/images/Tôi_đang_xem_tivi.png
học,공부하다,Tôi học tiếng Việt,저는 베트남어를 배웁니다.,https://r2.sangsang.vip/mp3/344b3aafced1808c12313f43f33dd945.mp3,https://r2.sangsang.vip/images/Tôi_học_tiếng_Việt.png
dạy,가르치다,Cô ấy dạy tiếng Anh,그녀는 영어를 가르칩니다.,https://r2.sangsang.vip/mp3/67fa8877f0a72adfa8e72de3b2fdd32f.mp3,https://r2.sangsang.vip/images/Cô_ấy_dạy_tiếng_Anh.png
hỏi,묻다,Tôi muốn hỏi bạn một câu,질문 하나 하고 싶어요.,https://r2.sangsang.vip/mp3/f0beb724f65fa995abaf89d16d3f8421.mp3,https://r2.sangsang.vip/images/Tôi_muốn_hỏi_bạn_một_câu.png
trả lời,대답하다,Bạn có thể trả lời câu hỏi của tôi không?,제 질문에 대답해 줄 수 있나요?,https://r2.sangsang.vip/mp3/b52f197cd65cfe3136e5b2190e0cda25.mp3,https://r2.sangsang.vip/images/Bạn_có_thể_trả_lời_câu_hỏi_của_tôi_không.png
hiểu,이해하다,Tôi không hiểu,이해하지 못했어요.,https://r2.sangsang.vip/mp3/f19362acca56d83c56e3ec9657c0141c.mp3,https://r2.sangsang.vip/images/Tôi_không_hiểu.png
biết,알다,Tôi biết nói một chút tiếng Việt,저는 베트남어를 조금 할 줄 알아요.,https://r2.sangsang.vip/mp3/d0f64182ecec3a9c08cd54319b926e24.mp3,https://r2.sangsang.vip/images/Tôi_biết_nói_một_chút_tiếng_Việt.png
nghĩ,생각하다,Tôi nghĩ rằng ý kiến của bạn đúng,당신의 의견이 맞다고 생각해요.,https://r2.sangsang.vip/mp3/aed77bd70ca6f2a4efc252984cd3d7bf.mp3,https://r2.sangsang.vip/images/Tôi_nghĩ_rằng_ý_kiến_của_bạn_đúng.png
nhớ,기억하다/그리워하다,Tôi nhớ nhà,집이 그리워요.,https://r2.sangsang.vip/mp3/9fc75e481ecbc40f2e1d5f63caf757d2.mp3,https://r2.sangsang.vip/images/Tôi_nhớ_nhà.png
quên,잊다,Tôi đã quên mang ví,지갑을 가져오는 것을 잊었어요.,https://r2.sangsang.vip/mp3/aadc7ca2144e20e43898fc9da8ddb15c.mp3,https://r2.sangsang.vip/images/Tôi_đã_quên_mang_ví.png
yêu,사랑하다,Tôi yêu em,사랑해요.,https://r2.sangsang.vip/mp3/94fcdee09d52324618a0fc9a7f39dc09.mp3,https://r2.sangsang.vip/images/Tôi_yêu_em.png
ghét,미워하다,Tôi ghét sự giả dối,저는 거짓을 싫어해요.,https://r2.sangsang.vip/mp3/ccd1f98606ba454f5f5bff1c9c89e29f.mp3,https://r2.sangsang.vip/images/Tôi_ghét_sự_giả_dối.png
thích,좋아하다,Tôi thích đi du lịch,저는 여행하는 것을 좋아해요.,https://r2.sangsang.vip/mp3/acae0479fd55225cb60808f1744a9756.mp3,https://r2.sangsang.vip/images/Tôi_thích_đi_du_lịch.png
muốn,원하다,Tôi muốn mua một cái áo mới,새 옷을 사고 싶어요.,https://r2.sangsang.vip/mp3/d3fb1a1c651630c67d28bf6f5623912f.mp3,https://r2.sangsang.vip/images/Tôi_muốn_mua_một_cái_áo_mới.png
cần,필요하다,Tôi cần sự giúp đỡ của bạn,당신의 도움이 필요해요.,https://r2.sangsang.vip/mp3/4e3c5aab841f2a8bc2c151f34db4c0d8.mp3,https://r2.sangsang.vip/images/Tôi_cần_sự_giúp_đỡ_của_bạn.png
có,가지고 있다,Tôi có một cuốn sách,저는 책 한 권이 있어요.,https://r2.sangsang.vip/mp3/402d861e1a421f838e461e0520da5158.mp3,https://r2.sangsang.vip/images/Tôi_có_một_cuốn_sách.png
không có,가지고 있지 않다,Tôi không có tiền,저는 돈이 없어요.,https://r2.sangsang.vip/mp3/89afd66918646ffc05f30d4e39fef094.mp3,https://r2.sangsang.vip/images/Tôi_không_có_tiền.png
mua,사다,Tôi muốn mua một ít hoa quả,과일을 좀 사고 싶어요.,https://r2.sangsang.vip/mp3/36cc59f68703980c5817c0b6b3d80c66.mp3,https://r2.sangsang.vip/images/Tôi_muốn_mua_một_ít_hoa_quả.png
bán,팔다,Cửa hàng này bán gì?,이 가게는 무엇을 파나요?,https://r2.sangsang.vip/mp3/38e28fffaba5898dbfea519bb4931fcc.mp3,https://r2.sangsang.vip/images/Cửa_hàng_này_bán_gì.png
cho,주다,Bạn có thể cho tôi mượn cái bút không?,펜 좀 빌려줄 수 있나요?,https://r2.sangsang.vip/mp3/2fe741ccc607cd87d151f4856b15de9c.mp3,https://r2.sangsang.vip/images/Bạn_có_thể_cho_tôi_mượn_cái_bút_không.png
nhận,받다,Tôi vừa nhận được một món quà,방금 선물을 받았어요.,https://r2.sangsang.vip/mp3/8268bd1a7b8e122d4aeb17fe759bc788.mp3,https://r2.sangsang.vip/images/Tôi_vừa_nhận_được_một_món_quà.png
lấy,가져오다/얻다,Bạn có thể lấy cho tôi cốc nước không?,물 한 잔 갖다 줄 수 있나요?,https://r2.sangsang.vip/mp3/54c222ddae6163747791cbd0e733cae8.mp3,https://r2.sangsang.vip/images/Bạn_có_thể_lấy_cho_tôi_cốc_nước_không.png
mang,가져가다,Nhớ mang theo ô,우산 챙기는 거 잊지 마세요.,https://r2.sangsang.vip/mp3/010740de027f89172b531a30a08c1d48.mp3,https://r2.sangsang.vip/images/Nhớ_mang_theo_ô.png
tìm,찾다,Tôi đang tìm chìa khóa,열쇠를 찾고 있어요.,https://r2.sangsang.vip/mp3/c0409f53006b61d7977cc2d2930e78c3.mp3,https://r2.sangsang.vip/images/Tôi_đang_tìm_chìa_khóa.png
thấy,보다/발견하다,Tôi đã thấy chiếc ví của bạn,당신 지갑을 봤어요.,https://r2.sangsang.vip/mp3/6f23a5659aea1271219fa4a7f6dc64e2.mp3,https://r2.sangsang.vip/images/Tôi_đã_thấy_chiếc_ví_của_bạn.png
mất,잃어버리다,Tôi đã làm mất điện thoại,핸드폰을 잃어버렸어요.,https://r2.sangsang.vip/mp3/6fd5fca5844df7fe56eef29d9fa4a826.mp3,https://r2.sangsang.vip/images/Tôi_đã_làm_mất_điện_thoại.png
bắt đầu,시작하다,Chúng ta hãy bắt đầu làm việc,우리 일 시작합시다.,https://r2.sangsang.vip/mp3/0620d82325370d7dae295f4cbc17f758.mp3,https://r2.sangsang.vip/images/Chúng_ta_hãy_bắt_đầu_làm_việc.png
kết thúc,끝내다,Tôi đã kết thúc công việc của mình,제 일을 끝냈어요.,https://r2.sangsang.vip/mp3/1f922154ef11f6ec1aff0c32b0e75311.mp3,https://r2.sangsang.vip/images/Tôi_đã_kết_thúc_công_việc_của_mình.png
mở,열다,Làm ơn mở cửa sổ ra,창문 좀 열어주세요.,https://r2.sangsang.vip/mp3/f889d3136542191f5f96950f729fe9f6.mp3,https://r2.sangsang.vip/images/Làm_ơn_mở_cửa_sổ_ra.png
đóng,닫다,Nhớ đóng cửa khi ra ngoài,나갈 때 문 닫는 거 잊지 마세요.,https://r2.sangsang.vip/mp3/f8dd0a2cf5453a35dda84eb64e15c82f.mp3,https://r2.sangsang.vip/images/Nhớ_đóng_cửa_khi_ra_ngoài.png
vào,들어가다,Mời bạn vào nhà,집에 들어오세요.,https://r2.sangsang.vip/mp3/ba1979e8e84fdd249bd5d64ed6e8821a.mp3,https://r2.sangsang.vip/images/Mời_bạn_vào_nhà.png
ra,나가다,Anh ấy vừa ra ngoài,그는 방금 나갔어요.,https://r2.sangsang.vip/mp3/f6500189eef49985b3b08b738d177585.mp3,https://r2.sangsang.vip/images/Anh_ấy_vừa_ra_ngoài.png
lên,올라가다,Hãy đi lên tầng hai,2층으로 올라가세요.,https://r2.sangsang.vip/mp3/de66546487d13e1f045cb35f7d6dac95.mp3,https://r2.sangsang.vip/images/Hãy_đi_lên_tầng_hai.png
xuống,내려가다,Tôi đang đi xuống cầu thang,계단을 내려가고 있어요.,https://r2.sangsang.vip/mp3/863cdfc0291bfd7b49335c29038029d8.mp3,https://r2.sangsang.vip/images/Tôi_đang_đi_xuống_cầu_thang.png
đứng,서다,Đừng đứng ở đó,거기 서 있지 마세요.,https://r2.sangsang.vip/mp3/ddc4d1f7b86cd218999cca6a55de1def.mp3,https://r2.sangsang.vip/images/Đừng_đứng_ở_đó.png
ngồi,앉다,Mời bạn ngồi,앉으세요.,https://r2.sangsang.vip/mp3/19570337ccb3f7854ecf4b7e5d79508e.mp3,https://r2.sangsang.vip/images/Mời_bạn_ngồi.png
nằm,눕다,Con mèo đang nằm trên ghế,고양이가 의자 위에 누워 있어요.,https://r2.sangsang.vip/mp3/a075b57528e62dbb8df93472dc152df4.mp3,https://r2.sangsang.vip/images/Con_mèo_đang_nằm_trên_ghế.png
đi bộ,걷다,Tôi thích đi bộ trong công viên,저는 공원에서 산책하는 것을 좋아해요.,https://r2.sangsang.vip/mp3/0cbc4f160853c4e38ad49b107d0d839d.mp3,https://r2.sangsang.vip/images/Tôi_thích_đi_bộ_trong_công_viên.png
chạy,뛰다,Anh ấy chạy rất nhanh,그는 매우 빨리 달려요.,https://r2.sangsang.vip/mp3/2828c4c9e9fe12f31c9b6aacd55a301c.mp3,https://r2.sangsang.vip/images/Anh_ấy_chạy_rất_nhanh.png
bay,날다,Chim đang bay trên trời,새가 하늘을 날고 있어요.,https://r2.sangsang.vip/mp3/e1e0db3e5f124501b0b8abf25643f45d.mp3,https://r2.sangsang.vip/images/Chim_đang_bay_trên_trời.png
bơi,수영하다,Tôi biết bơi,저는 수영할 줄 알아요.,https://r2.sangsang.vip/mp3/93c792b2ec7ff268d934cf0448e1ea8a.mp3,https://r2.sangsang.vip/images/Tôi_biết_bơi.png
lái xe,운전하다,Bố tôi đang lái xe,아버지는 운전하고 계세요.,https://r2.sangsang.vip/mp3/644c050a8863758b759cf6b774e54b83.mp3,https://r2.sangsang.vip/images/Bố_tôi_đang_lái_xe.png
đi xe đạp,자전거를 타다,Tôi thường đi xe đạp đi làm,저는 보통 자전거를 타고 출근해요.,https://r2.sangsang.vip/mp3/6db9be163ecc980ff7719d884c7ea448.mp3,https://r2.sangsang.vip/images/Tôi_thường_đi_xe_đạp_đi_làm.png
đi xe máy,오토바이를 타다,Ở Việt Nam nhiều người đi xe máy,베트남에서는 많은 사람들이 오토바이를 타요.,https://r2.sangsang.vip/mp3/e896207f9e41caab472b86e2ec125b2f.mp3,https://r2.sangsang.vip/images/Ở_Việt_Nam_nhiều_người_đi_xe_máy.png
nấu ăn,요리하다,Mẹ tôi nấu ăn rất ngon,어머니는 요리를 아주 잘하세요.,https://r2.sangsang.vip/mp3/87102d0a9099e2bd5559667f520af3a5.mp3,https://r2.sangsang.vip/images/Mẹ_tôi_nấu_ăn_rất_ngon.png
rửa,씻다,Tôi cần rửa tay,손을 씻어야 해요.,https://r2.sangsang.vip/mp3/41b22a5d666b1351d6836ed1c761b5b5.mp3,https://r2.sangsang.vip/images/Tôi_cần_rửa_tay.png
tắm,목욕하다,Tôi sẽ đi tắm,샤워할 거예요.,https://r2.sangsang.vip/mp3/69dfaa06fea868e7f6224cc305629317.mp3,https://r2.sangsang.vip/images/Tôi_sẽ_đi_tắm.png
giặt,빨래하다,Tôi phải giặt quần áo,빨래를 해야 해요.,https://r2.sangsang.vip/mp3/7cebfb0482ee8da1323d27f5fd7ca2b5.mp3,https://r2.sangsang.vip/images/Tôi_phải_giặt_quần_áo.png
lau,닦다,Hãy lau nhà sạch sẽ,집을 깨끗하게 닦으세요.,https://r2.sangsang.vip/mp3/e592f189808a3f2de6e7c416441134a9.mp3,https://r2.sangsang.vip/images/Hãy_lau_nhà_sạch_sẽ.png
quét,쓸다,Tôi đang quét nhà,집을 쓸고 있어요.,https://r2.sangsang.vip/mp3/809b694205fcee0d606f7741a77a7983.mp3,https://r2.sangsang.vip/images/Tôi_đang_quét_nhà.png
dọn dẹp,청소하다,Cuối tuần tôi thường dọn dẹp nhà cửa,주말에 저는 보통 집을 청소해요.,https://r2.sangsang.vip/mp3/5e28674b2ed2feff27793fcab6f85453.mp3,https://r2.sangsang.vip/images/Cuối_tuần_tôi_thường_dọn_dẹp_nhà_cửa.png
sửa chữa,수리하다,Bố tôi đang sửa chữa cái quạt,아버지는 선풍기를 고치고 계세요.,https://r2.sangsang.vip/mp3/abccc39d500d9937017e58482af8bf97.mp3,https://r2.sangsang.vip/images/Bố_tôi_đang_sửa_chữa_cái_quạt.png
xây dựng,건설하다,Họ đang xây dựng một tòa nhà mới,그들은 새 건물을 짓고 있어요.,https://r2.sangsang.vip/mp3/8261cea9393ab879d14c080a296f94b1.mp3,https://r2.sangsang.vip/images/Họ_đang_xây_dựng_một_tòa_nhà_mới.png
vẽ,그리다,Em gái tôi thích vẽ tranh,제 여동생은 그림 그리는 것을 좋아해요.,https://r2.sangsang.vip/mp3/51a9ee25e4f1f41fbd0124a348a5271c.mp3,https://r2.sangsang.vip/images/Em_gái_tôi_thích_vẽ_tranh.png
chụp ảnh,사진을 찍다,Bạn có thể chụp cho tôi một tấm ảnh không?,사진 한 장 찍어줄 수 있나요?,https://r2.sangsang.vip/mp3/f4510d23f690df69eaaff9fc5da16c1e.mp3,https://r2.sangsang.vip/images/Bạn_có_thể_chụp_cho_tôi_một_tấm_ảnh_không.png
hát,노래하다,Cô ấy hát rất hay,그녀는 노래를 아주 잘해요.,https://r2.sangsang.vip/mp3/d1dc4cc7457a6743317adc0dbf344494.mp3,https://r2.sangsang.vip/images/Cô_ấy_hát_rất_hay.png
nhảy,춤추다,Họ đang nhảy múa,그들은 춤을 추고 있어요.,https://r2.sangsang.vip/mp3/d5bf7f9ec702145cef8e24fe86917cfc.mp3,https://r2.sangsang.vip/images/Họ_đang_nhảy_múa.png
chơi,놀다,Trẻ em đang chơi ngoài sân,아이들이 마당에서 놀고 있어요.,https://r2.sangsang.vip/mp3/9f528ad4594db5ea13807eea58b29779.mp3,https://r2.sangsang.vip/images/Trẻ_em_đang_chơi_ngoài_sân.png
cười,웃다,Tại sao bạn cười,왜 웃어요?,https://r2.sangsang.vip/mp3/83d61673e5313c6ab396e2f9872e8d30.mp3,https://r2.sangsang.vip/images/Tại_sao_bạn_cười.png
khóc,울다,Em bé đang khóc,아기가 울고 있어요.,https://r2.sangsang.vip/mp3/5efa284dc6023152133b71b568f5255f.mp3,https://r2.sangsang.vip/images/Em_bé_đang_khóc.png
sống,살다,Anh ấy sống ở thành phố Hồ Chí Minh,그는 호치민시에 살아요.,https://r2.sangsang.vip/mp3/75fdacf39adcce62f4a57e6768419b9d.mp3,https://r2.sangsang.vip/images/Anh_ấy_sống_ở_thành_phố_Hồ_Chí_Minh.png
chết,죽다,Ông tôi đã mất năm ngoái,할아버지는 작년에 돌아가셨어요.,https://r2.sangsang.vip/mp3/8c9bc6a558bbd4bd683aa83ad2f01952.mp3,https://r2.sangsang.vip/images/Ông_tôi_đã_mất_năm_ngoái.png
sinh ra,태어나다,Tôi sinh ra ở Hàn Quốc,저는 한국에서 태어났어요.,https://r2.sangsang.vip/mp3/920be265a6ef29340a54f05787c883b0.mp3,https://r2.sangsang.vip/images/Tôi_sinh_ra_ở_Hàn_Quốc.png
lớn lên,자라다,Tôi lớn lên ở một vùng quê,저는 시골에서 자랐어요.,https://r2.sangsang.vip/mp3/6181054de460955f84b3aef43921b4cf.mp3,https://r2.sangsang.vip/images/Tôi_lớn_lên_ở_một_vùng_quê.png
làm việc,일하다,Tôi làm việc cho một công ty nước ngoài,저는 외국계 회사에서 일해요.,https://r2.sangsang.vip/mp3/4d53d304b2a87f813a779f12985aab96.mp3,https://r2.sangsang.vip/images/Tôi_làm_việc_cho_một_công_ty_nước_ngoài.png
nghỉ ngơi,쉬다,Tôi cần nghỉ ngơi một chút,저는 좀 쉬어야 해요.,https://r2.sangsang.vip/mp3/e5bd4d3a4040dd9ec12d0e8c6bcdad08.mp3,https://r2.sangsang.vip/images/Tôi_cần_nghỉ_ngơi_một_chút.png
gặp,만나다,Tôi rất vui được gặp bạn,만나서 정말 반가워요.,https://r2.sangsang.vip/mp3/740368ff5d4694767fa14dca3981b12f.mp3,https://r2.sangsang.vip/images/Tôi_rất_vui_được_gặp_bạn.png
nói chuyện,이야기하다,Chúng tôi đã nói chuyện rất lâu,우리는 오랫동안 이야기했어요.,https://r2.sangsang.vip/mp3/44a2223f749de90b8a00a4d20a510759.mp3,https://r2.sangsang.vip/images/Chúng_tôi_đã_nói_chuyện_rất_lâu.png
gọi,부르다/전화하다,Hãy gọi cho tôi khi bạn đến,도착하면 전화 주세요.,https://r2.sangsang.vip/mp3/b44d9b56d683435743332fc59d637a3e.mp3,https://r2.sangsang.vip/images/Hãy_gọi_cho_tôi_khi_bạn_đến.png
gửi,보내다,Tôi muốn gửi một bưu kiện,소포를 보내고 싶어요.,https://r2.sangsang.vip/mp3/a287c47447aff8e3ae83466ba2a876a7.mp3,https://r2.sangsang.vip/images/Tôi_muốn_gửi_một_bưu_kiện.png
viết thư,편지를 쓰다,Bà tôi thích viết thư tay,할머니는 손편지 쓰는 것을 좋아하세요.,https://r2.sangsang.vip/mp3/69fd0243e90400d7f8b1dcea255a811d.mp3,https://r2.sangsang.vip/images/Bà_tôi_thích_viết_thư_tay.png
đợi,기다리다,Xin vui lòng đợi một lát,잠시만 기다려 주세요.,https://r2.sangsang.vip/mp3/0a2c5b4748716963db99b2ca8d9825f4.mp3,https://r2.sangsang.vip/images/Xin_vui_lòng_đợi_một_lát.png
giúp đỡ,돕다,Bạn có thể giúp tôi một việc được không?,부탁 하나 들어줄 수 있나요?,https://r2.sangsang.vip/mp3/dbfb5e4a9323f13bd2936f5e88351430.mp3,https://r2.sangsang.vip/images/Bạn_có_thể_giúp_tôi_một_việc_được_không.png
cảm ơn,감사하다,Cảm ơn bạn rất nhiều,정말 감사합니다.,https://r2.sangsang.vip/mp3/0a169cc406d1fdb3dd300a72435f5469.mp3,https://r2.sangsang.vip/images/Cảm_ơn_bạn_rất_nhiều.png
xin lỗi,미안하다,Xin lỗi,죄송합니다.,https://r2.sangsang.vip/mp3/10e407e81cb6b3ffafbd3005bb92008e.mp3,https://r2.sangsang.vip/images/Xin_lỗi.png
chào,인사하다,Chào bạn,안녕하세요.,https://r2.sangsang.vip/mp3/ddfe87f3dc517cfb80d89edb053da2e0.mp3,https://r2.sangsang.vip/images/Chào_bạn.png
tạm biệt,작별하다,Tạm biệt,안녕히 계세요.,https://r2.sangsang.vip/mp3/05fce1c1e33271b7b751205f56153661.mp3,https://r2.sangsang.vip/images/Tạm_biệt.png
đồng ý,동의하다,Tôi đồng ý với ý kiến của bạn,당신의 의견에 동의합니다.,https://r2.sangsang.vip/mp3/129439ce381534069177c4832a2f4771.mp3,https://r2.sangsang.vip/images/Tôi_đồng_ý_với_ý_kiến_của_bạn.png
phản đối,반대하다,Một số người đã phản đối kế hoạch này,몇몇 사람들은 이 계획에 반대했습니다.,https://r2.sangsang.vip/mp3/dacaa9802f3fb7aeb72fcbfeeb0c8271.mp3,https://r2.sangsang.vip/images/Một_số_người_đã_phản_đối_kế_hoạch_này.png
tin,믿다,Tôi tin bạn,저는 당신을 믿어요.,https://r2.sangsang.vip/mp3/c7cf1465e17ccbccb2ecaced3a154f60.mp3,https://r2.sangsang.vip/images/Tôi_tin_bạn.png
hy vọng,바라다,Tôi hy vọng mọi việc sẽ tốt đẹp,모든 일이 잘되기를 바랍니다.,https://r2.sangsang.vip/mp3/d79ba16a1015aa9061530e5130f3c35e.mp3,https://r2.sangsang.vip/images/Tôi_hy_vọng_mọi_việc_sẽ_tốt_đẹp.png
cố gắng,노력하다,Hãy cố gắng hết sức mình,최선을 다하세요.,https://r2.sangsang.vip/mp3/825a645980917e3bd520b9510b86ae2d.mp3,https://r2.sangsang.vip/images/Hãy_cố_gắng_hết_sức_mình.png
thử,시도하다,Bạn có muốn thử món này không?,이 음식 한번 먹어볼래요?,https://r2.sangsang.vip/mp3/5851b093bee203a0070ad10f301aa67e.mp3,https://r2.sangsang.vip/images/Bạn_có_muốn_thử_món_này_không.png
thành công,성공하다,Anh ấy đã thành công trong sự nghiệp,그는 경력에서 성공했습니다.,https://r2.sangsang.vip/mp3/dbb5c12d8eb1a148872a02117d806c34.mp3,https://r2.sangsang.vip/images/Anh_ấy_đã_thành_công_trong_sự_nghiệp.png
thất bại,실패하다,Đừng sợ thất bại,실패를 두려워하지 마세요.,https://r2.sangsang.vip/mp3/bcd03c3c8b624d80e69318f67bb6b24f.mp3,https://r2.sangsang.vip/images/Đừng_sợ_thất_bại.png
thắng,이기다,Đội chúng ta đã thắng,우리 팀이 이겼어요.,https://r2.sangsang.vip/mp3/acf81ec633f1c5a7b3120ac99c1035df.mp3,https://r2.sangsang.vip/images/Đội_chúng_ta_đã_thắng.png
thua,지다,Họ đã thua trận đấu,그들은 경기에서 졌어요.,https://r2.sangsang.vip/mp3/1568506f9b6a9cb156b7d8dce6622693.mp3,https://r2.sangsang.vip/images/Họ_đã_thua_trận_đấu.png
quyết định,결정하다,Tôi đã quyết định sẽ đi du học,저는 유학 가기로 결정했어요.,https://r2.sangsang.vip/mp3/02bfe8707ac2c541f261da539b570dde.mp3,https://r2.sangsang.vip/images/Tôi_đã_quyết_định_sẽ_đi_du_học.png
thay đổi,바꾸다/변하다,Thế giới đang thay đổi nhanh chóng,세상은 빠르게 변하고 있어요.,https://r2.sangsang.vip/mp3/0959dde057d373473f8dc1bda48702af.mp3,https://r2.sangsang.vip/images/Thế_giới_đang_thay_đổi_nhanh_chóng.png
phát triển,발전하다,Kinh tế đất nước đang phát triển,나라 경제가 발전하고 있어요.,https://r2.sangsang.vip/mp3/310c3f6f74d7a51b564aa38ba6891a28.mp3,https://r2.sangsang.vip/images/Kinh_tế_đất_nước_đang_phát_triển.png
tăng,증가하다,Giá cả đang tăng lên,물가가 오르고 있어요.,https://r2.sangsang.vip/mp3/0af566b90331097cb8f7c8ba12c42722.mp3,https://r2.sangsang.vip/images/Giá_cả_đang_tăng_lên.png
giảm,감소하다,Số lượng học sinh đã giảm,학생 수가 줄었어요.,https://r2.sangsang.vip/mp3/d1eadc9395df2e52208aafe1098663d7.mp3,https://r2.sangsang.vip/images/Số_lượng_học_sinh_đã_giảm.png
tiếp tục,계속하다,Hãy tiếp tục làm việc,계속 일하세요.,https://r2.sangsang.vip/mp3/ccaefbb099a5977c0d2f244b047967bb.mp3,https://r2.sangsang.vip/images/Hãy_tiếp_tục_làm_việc.png
dừng lại,멈추다,Làm ơn dừng lại ở đây,여기서 멈춰주세요.,https://r2.sangsang.vip/mp3/34dafea6b80bb4ebbd59484228db7f74.mp3,https://r2.sangsang.vip/images/Làm_ơn_dừng_lại_ở_đây.png
